newSiteCode,logger_ID,logger_filename,logger_status,logger_size_mb,logger_start,logger_end,met_filename,met_status,met_size_mb,met_start,met_end
CB01,CR1000_1,CB01.dat,Copied,6.42,2014-09-29 21:00:00,2024-03-19 08:00:00,CB01_met.dat,Copied,1.0,2022-06-08 12:00:00,2024-03-19 08:00:00
CB04,CR1000_2,CB04.dat,Copied,7.02,2014-10-02 17:00:00,2025-07-16 15:00:00,CB04_met.dat,Copied,6.4,2014-11-13 13:00:00,2026-02-24 15:00:00
CB06,CR1000_3,CB06.dat,Copied,8.74,2014-11-12 15:00:00,2025-07-16 15:00:00,CB06_met.dat,Copied,4.78,Unknown,Unknown
CB07,CR1000_4,CB07.dat,Copied,5.11,2014-11-13 16:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
CB09,CR1000_5,CB09.dat,Copied,6.08,2016-02-20 18:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
CB10,CR1000_6,CB10.dat,Copied,6.9,2014-12-03 21:00:00,2025-07-16 14:00:00,,N/A,0.0,N/A,N/A
CB15,CR200_1,CB15.dat,Copied,1.64,2014-09-30 14:00:00,2024-02-26 11:00:00,,N/A,0.0,N/A,N/A
CB19,CR200_10,CB19.dat,Copied,5.14,2014-09-03 15:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
CB20,CR200_11,CB20.dat,Copied,2.11,2014-09-02 21:00:00,2024-03-19 11:00:00,,N/A,0.0,N/A,N/A
CB25,CR200_12,CB25.dat,Copied,7.5,2014-09-04 14:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
CB26,CR200_13,CB26.dat,Copied,4.8,2016-02-15 15:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
CB27,CR200_14,CB27.dat,Copied,6.73,2014-10-09 15:00:00,2024-03-19 09:00:00,,N/A,0.0,N/A,N/A
CB31,CR200_15,CB31.dat,Copied,7.33,2014-10-02 19:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
CB32,CR200_16,CB32.dat,Copied,5.63,2014-11-10 14:00:00,2023-12-12 11:00:00,,N/A,0.0,N/A,N/A
CB33,CR200_17,CB33.dat,Copied,6.96,2014-11-10 20:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
FD02,CR200_18,FD02.dat,Copied,7.44,2014-11-11 14:00:00,2025-07-16 15:00:00,FD02_met.dat,Copied,6.4,2014-10-02 14:00:00,2026-02-24 15:00:00
FD03,CR200_19,FD03.dat,Copied,4.9,2016-02-11 20:00:00,2025-07-16 15:00:00,FD03_met.dat,Copied,7.05,2016-04-25 13:00:00,2026-02-24 15:00:00
FD08,CR200_2,FD08.dat,Copied,8.6,2014-09-03 18:00:00,2025-08-16 19:45:00,,N/A,0.0,N/A,N/A
FD11,CR200_21,FD11.dat,Copied,8.13,2014-11-12 21:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
FD12,CR200_22,FD12.dat,Copied,3.64,2014-12-03 22:00:00,2023-09-04 03:00:00,,N/A,0.0,N/A,N/A
FD13,CR200_23,FD13.dat,Copied,6.89,2014-11-11 20:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
FD14,CR200_24,FD14.dat,Copied,5.88,2014-11-11 18:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
FD16,CR200_25,FD16.dat,Copied,7.14,2014-11-11 16:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
FD17,CR200_26,FD17.dat,Copied,2.48,2019-11-19 21:00:00,2023-09-06 17:00:00,,N/A,0.0,N/A,N/A
FD18,CR200_28,FD18.dat,Copied,5.69,2016-02-11 20:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
FD21,CR200_29,FD21.dat,Copied,0.05,2022-06-09 14:00:00,2022-07-12 09:00:00,,N/A,0.0,N/A,N/A
FD22,CR200_3,FD22.dat,Copied,6.67,2014-09-30 17:00:00,2024-02-26 09:00:00,,N/A,0.0,N/A,N/A
FD23,CR200_4,FD23.dat,Copied,2.28,2019-11-19 23:00:00,2023-06-01 14:00:00,,N/A,0.0,N/A,N/A
FD24,CR200_5,FD24.dat,Copied,4.85,2014-09-02 18:00:00,2023-10-31 17:00:00,,N/A,0.0,N/A,N/A
FD28,CR200_6,FD28.dat,Copied,3.58,2019-12-03 14:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
FD29,CR200_7,FD29.dat,Copied,6.75,2014-09-04 19:00:00,2025-07-16 15:00:00,,N/A,0.0,N/A,N/A
FD30,CR200_8,FD30.dat,Copied,7.12,2014-09-03 20:00:00,2025-07-11 14:00:00,,N/A,0.0,N/A,N/A
WC05,CR200_9,WC05.dat,Copied,6.53,2014-09-30 20:00:00,2024-02-26 10:00:00,WC05_met.dat,Copied,6.26,2014-11-13 18:00:00,2026-02-24 15:00:00
L_1,LCRA_1,L_1.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
L_2,LCRA_2,L_2.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
L_3,LCRA_3,L_3.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
L_4,LCRA_4,L_4.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
L_5,LCRA_5,L_5.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
L_6,LCRA_6,L_6.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
L_7,LCRA_7,L_7.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
,,nan.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
,,nan.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
,,nan.dat,NOT FOUND,0.0,N/A,N/A,,N/A,0.0,N/A,N/A
