model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
cnn,1,CNN | Horizon=48 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.15219257185921217,0.08870522533756431,0.5602137048848485,-0.3309846054386786,"['SWC_10', 'T_5', 'Ppt']"
cnn,1,CNN | Horizon=72 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.043841346402214675,0.029498021784558997,0.1611404000199141,0.5553362316000929,"['SWC_10', 'T_5', 'Ppt']"
cnn,1,CNN | Horizon=168 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.055851805207756254,0.03956661851133643,0.21691830847222612,0.5239718429541915,"['SWC_10', 'T_5', 'Ppt']"
lstm,1,LSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.028176136045190488,0.016030243470301637,0.07708414237857371,0.8245002665504938,"['SWC_10', 'T_5', 'Ppt']"
lstm,1,LSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.03137210459457177,0.01795238238858161,0.08211014097489305,0.8008965283559558,"['SWC_10', 'T_5', 'Ppt']"
lstm,1,LSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.03594965144817597,0.024824599863501655,0.12279382615813925,0.7050049639070427,"['SWC_10', 'T_5', 'Ppt']"
arima,1,ARIMA | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arimax,1,ARIMAX | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.07933115553271015,0.06627972642057409,0.4010007325609862,0.44905205385696484,"['T_5', 'Ppt']"
arimax,1,ARIMAX | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.07933115553271015,0.06627972642057409,0.4010007325609862,0.44905205385696484,"['T_5', 'Ppt']"
arimax,1,ARIMAX | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.07933115553271015,0.06627972642057409,0.4010007325609862,0.44905205385696484,"['T_5', 'Ppt']"
bilstm,1,BILSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.03583718561399018,0.022144613537072335,0.12120046285890729,0.7205560183443132,"['SWC_10', 'T_5', 'Ppt']"
bilstm,1,BILSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.03796797193812627,0.023746494957610807,0.12409081887200178,0.6652771930752157,"['SWC_10', 'T_5', 'Ppt']"
bilstm,1,BILSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.03475023787665767,0.02372568766967232,0.1173607908272679,0.7327803758505372,"['SWC_10', 'T_5', 'Ppt']"

model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
cnn,1,CNN | Horizon=48 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.08697025159261361,0.048671078525315006,0.29110849112881715,0.10871696069642008,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
cnn,1,CNN | Horizon=72 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.08107749307032448,0.051591339151816004,0.3089634104200823,0.0042742461074583155,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
cnn,1,CNN | Horizon=168 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.07433245850752607,0.05683347589161952,0.3232625264092383,0.25656019708337297,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
lstm,1,LSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.038957187218301825,0.021820673282716144,0.11570963426673385,0.6675409250016067,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
lstm,1,LSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.03441445910876384,0.02071823837907492,0.10373454885889548,0.7303755738441671,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
lstm,1,LSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.044745578191513556,0.03206666237635655,0.16964550487417515,0.5780042729324577,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
arima,1,ARIMA | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arimax,1,ARIMAX | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08114560136084266,0.06785133167354945,0.41042932931995935,0.44532658370430783,"['T_5', 'Ppt', 'Srad']"
arimax,1,ARIMAX | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08114560136084266,0.06785133167354945,0.41042932931995935,0.44532658370430783,"['T_5', 'Ppt', 'Srad']"
arimax,1,ARIMAX | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08114560136084266,0.06785133167354945,0.41042932931995935,0.44532658370430783,"['T_5', 'Ppt', 'Srad']"
bilstm,1,BILSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.030539523846709007,0.01600466041251182,0.07952631584996749,0.7917220977479054,"['T_5', 'Ppt', 'Srad']"
bilstm,1,BILSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.029548605292612586,0.017074905843212012,0.08163100296167444,0.8011694962215256,"['T_5', 'Ppt', 'Srad']"
bilstm,1,BILSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.04155713855887298,0.028608616224917238,0.1507387293017849,0.6025913470649418,"['T_5', 'Ppt', 'Srad']"

model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
cnn,1,CNN | Horizon=48 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.08697025159261361,0.048671078525315006,0.29110849112881715,0.10871696069642008,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
cnn,1,CNN | Horizon=72 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.08107749307032448,0.051591339151816004,0.3089634104200823,0.0042742461074583155,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
cnn,1,CNN | Horizon=168 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.07433245850752607,0.05683347589161952,0.3232625264092383,0.25656019708337297,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
lstm,1,LSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.038957187218301825,0.021820673282716144,0.11570963426673385,0.6675409250016067,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
lstm,1,LSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.03441445910876384,0.02071823837907492,0.10373454885889548,0.7303755738441671,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
lstm,1,LSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.044745578191513556,0.03206666237635655,0.16964550487417515,0.5780042729324577,"['SWC_10', 'T_5', 'Ppt', 'Srad']"
arima,1,ARIMA | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arimax,1,ARIMAX | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08114560136084266,0.06785133167354945,0.41042932931995935,0.44532658370430783,"['T_5', 'Ppt', 'Srad']"
arimax,1,ARIMAX | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08114560136084266,0.06785133167354945,0.41042932931995935,0.44532658370430783,"['T_5', 'Ppt', 'Srad']"
arimax,1,ARIMAX | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08114560136084266,0.06785133167354945,0.41042932931995935,0.44532658370430783,"['T_5', 'Ppt', 'Srad']"
bilstm,1,BILSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.030539523846709007,0.01600466041251182,0.07952631584996749,0.7917220977479054,"['T_5', 'Ppt', 'Srad']"
bilstm,1,BILSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.029548605292612586,0.017074905843212012,0.08163100296167444,0.8011694962215256,"['T_5', 'Ppt', 'Srad']"
bilstm,1,BILSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.04155713855887298,0.028608616224917238,0.1507387293017849,0.6025913470649418,"['T_5', 'Ppt', 'Srad']"

model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
cnn,1,CNN | Horizon=48 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.04037239762386904,0.023281419176706463,0.11900346837338886,0.6457960300594126,"['SWC_10', 'T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
cnn,1,CNN | Horizon=72 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.034121660844329035,0.02363904682062952,0.11513602686335705,0.7787248036504069,"['SWC_10', 'T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
cnn,1,CNN | Horizon=168 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.051674015182350194,0.03811363469620684,0.19738361849892277,0.4645072736558604,"['SWC_10', 'T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.05487322907320497,0.03168780904260577,0.18486520999527148,0.394426061436136,"['SWC_10', 'T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.041242167223223915,0.02748372671370538,0.14355307217396815,0.5805550803142973,"['SWC_10', 'T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.046955417530471,0.03486967892088132,0.17381839767106688,0.4796166796960701,"['SWC_10', 'T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
arima,1,ARIMA | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arimax,1,ARIMAX | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.05608380915169108,0.04583159861118435,0.2703947101963557,0.5000029384692901,"['T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
arimax,1,ARIMAX | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.05608380915169108,0.04583159861118435,0.2703947101963557,0.5000029384692901,"['T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
arimax,1,ARIMAX | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.05608380915169108,0.04583159861118435,0.2703947101963557,0.5000029384692901,"['T_5', 'Ppt', 'Srad', 'RH', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
bilstm,1,BILSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.03052964506018274,0.01796379314483533,0.09100612892602274,0.7825686725774416,
bilstm,1,BILSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.04075574114998221,0.024453916553483772,0.12719625711748542,0.60824870809434,
bilstm,1,BILSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.04201880923302271,0.02838595158486727,0.135112526989759,0.6047795460762783,

model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
cnn,1,CNN | Horizon=48 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.03367182868203947,0.022124011624712975,0.10924231297120897,0.7630370397147275,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
cnn,1,CNN | Horizon=72 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.05344210492019719,0.034261993017155594,0.18363515988054194,0.39329227182409326,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
cnn,1,CNN | Horizon=168 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.05138130292672732,0.039507271965651056,0.20432869334598258,0.3962309147307207,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.0417660828664093,0.02242867122055331,0.12627086072372148,0.6070461708683642,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.03007201399881434,0.01743264907816993,0.07847669949749837,0.803062848826559,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.0443649938062435,0.03228676669193855,0.15836952185829045,0.5232292020826418,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
arima,1,ARIMA | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arimax,1,ARIMAX | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.058024175469848116,0.047382584214391045,0.2797782869745871,0.4421484427376656,"['DaySin', 'DayCos', 'YearSin', 'YearCos']"
arimax,1,ARIMAX | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.058024175469848116,0.047382584214391045,0.2797782869745871,0.4421484427376656,"['DaySin', 'DayCos', 'YearSin', 'YearCos']"
arimax,1,ARIMAX | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.058024175469848116,0.047382584214391045,0.2797782869745871,0.4421484427376656,"['DaySin', 'DayCos', 'YearSin', 'YearCos']"
bilstm,1,BILSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.055433541618751914,0.03194924505446978,0.18521524256208896,0.3550291949354052,
bilstm,1,BILSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.04943516327512745,0.0303549229789152,0.16771430255704256,0.4403216091877701,
bilstm,1,BILSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.042864543087203624,0.029316303711842687,0.14349759322735237,0.6090454911702979,
