Model,Loss,Mean_absolute_error,Val_loss,Val_mean_absolute_error
Baseline (min-max),3.29E-04,0.0035,null,null
Baseline (mean),7.80E-03,0.0169,null,null
Single-Step Dense (min-max),1.14E-04,0.0037,0.0011,0.0124
Single-Step Dense (mean),3.90E-03,0.0228,7.50E-03,0.0336
Multi-Step Dense (min-max),1.27E-04,0.0041,5.65E-04,0.0085
Multi-Step Dense (mean),3.60E-03,0.0229,6.70E-03,0.0329
Multi-Step CNN (min-max),1.26E-04,0.0042,6.52E-04,0.0119
Multi-Step CNN (mean),3.50E-03,0.0229,8.70E-03,0.0548
Multi-Step RNN LSTM (min-max),4.83E-05,0.0024,5.34E-04,0.0072
Multi-Step RNN LSTM (mean),9.40E-04,0.0137,0.0064,0.0262